Period,Sex,Age,New_recipients
1995,Male,>70,"1,654"
1996,Male,>70,"1,580"
1997,Male,>70,"1,524"
1998,Male,>70,"1,436"
1999,Male,>70,"1,324"
2000,Male,>70,"4,167"
2001,Male,>70,"1,087"
2002,Male,>70,994
2003,Male,>70,"2,076"
2004,Male,>70,"1,419"
2005,Male,>70,"1,650"
2006,Male,>70,"1,242"
2007,Male,>70,"1,612"
2008,Male,>70,"2,622"
2009,Male,>70,"1,777"
2010,Male,>70,"1,951"
2011,Male,>70,"2,018"
2012,Male,>70,"1,837"
2013,Male,>70,"1,930"
2014,Male,>70,"1,956"
2015,Male,>70,"2,358"
2016,Male,>70,"2,962"
2017,Male,>70,"3,774"
2018,Male,>70,"3,994"
2019,Male,>70,"4,417"
2020,Male,>70,"11,603"
2021,Male,>70,"18,324"
1987,Female,>70,933
1988,Female,>70,"4,333"
1989,Female,>70,"2,304"
1990,Female,>70,"1,799"
1991,Female,>70,"1,864"
1992,Female,>70,"2,510"
1993,Female,>70,"2,767"
1994,Female,>70,"2,842"
1995,Female,>70,"3,479"
1996,Female,>70,"3,532"
1997,Female,>70,"3,203"
1998,Female,>70,"3,763"
1999,Female,>70,"3,271"
2000,Female,>70,"10,082"
2001,Female,>70,"2,373"
2002,Female,>70,"2,157"
2003,Female,>70,"5,741"
2004,Female,>70,"2,084"
2005,Female,>70,"2,712"
2006,Female,>70,"1,893"
2007,Female,>70,"1,834"
2008,Female,>70,"5,335"
2009,Female,>70,"1,655"
2010,Female,>70,"3,368"
2011,Female,>70,"1,619"
2012,Female,>70,"1,268"
2013,Female,>70,"1,276"
2014,Female,>70,"1,282"
2015,Female,>70,"1,403"
2016,Female,>70,"1,882"
2017,Female,>70,"2,300"
2018,Female,>70,"2,541"
2019,Female,>70,"2,871"
2020,Female,>70,"21,209"
2021,Female,>70,"17,093"
